Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
10/28/2020,3870,1342,1300,133.707,866.4,151.6,959.6,27.65,1385,1324,7880,1350,1234,2491.25,858,65.53,1486.5,156.28,2636,28.945,349.8,809.5,1508.249
10/29/2020,3910,1320,1293,132.513,898.3,147,934.4,28.28,1359.5,1304.2,7876,1340.5,1216,2510.5,872.5,65.455,1466.5,155.5,2684,29.015,346.8,815.5,1502.249
10/30/2020,3916,1303,1287,134.503,929,143.35,942.8,28.025,1336.5,1291.8,7766,1329.5,1234,2465.25,867,65.3,1463,155.9,2720,28.97,348.6,833,1488.899
11/02/2020,3932,1334,1285,134.105,972.4,146.75,957.8,27.83,1336.5,1324.8,7774,1329,1220,2461.75,880.25,65.995,1487.5,156.84,2820,29.54,351.2,839,1502.249
11/03/2020,3992,1349,1315,134.503,984.5,153.4,1010.5,29.245,1367,1356,7963,1371,1262,2483,888,67.705,1524,160.72,2950,30.165,370.8,867,1507.499
11/04/2020,4081,1398,1318,134.701,988.7,151.35,1035,28.52,1425,1415,8511,1396.5,1288,2610.75,882.25,68.55,1566.5,162.34,2820,30.515,374.6,884,1532.249
11/05/2020,4229,1393,1352,133.906,967.1,153,1047,27.71,1402.5,1404,8529,1397.5,1296,2653,930.75,70.005,1588,164.14,2872,30.78,386,891,1528.499
11/06/2020,4181,1373,1342,132.513,970,151.5,1049.5,27.365,1396,1399,8473,1403,1288,2667.5,936.25,69.87,1596,170,2883,30.62,372.4,894,1524.749
11/09/2020,4681,1305,1582,133.11,1090.8,170.95,1237,30.78,1583,1428.2,8301,1458,1240,2689,964.75,73.405,1652,180.18,2886,32.2,454,989.5,1535.999
11/10/2020,4627,1254,1686,133.11,1129.8,171.8,1267,32.135,1583.5,1467.6,8530,1542,1160,2525.75,914.75,73.1,1697,187.52,3018,32.665,464.9,1077,1565.999
11/11/2020,4504,1253,1683,133.508,1138.2,185.4,1267.5,33.38,1550,1463.4,8785,1472,1162,2590.25,949,73.2,1724.5,188.4,3024,32.71,465.6,1119,1619.999
11/12/2020,4499,1257,1672,132.314,1125.4,187,1256,33.47,1526.5,1446.4,8660,1496.5,1190,2626,958.75,73.08,1686,188.58,3013,32.505,463.3,1104,1580.999
11/13/2020,4477,1252,1681,132.314,1115,189.05,1249,34.72,1495.5,1437,8633,1503,1188,2609.25,945.75,73.46,1698.5,189.54,3000,32.67,474.6,1072,1562.249
11/16/2020,4710,1249,1732,131.916,1185,196,1288.5,35.59,1505.5,1442.2,8543,1574.5,1234,2628.5,948.25,75.385,1721,195.08,3054,33.345,504.4,1079,1563.749
11/17/2020,4630,1237,1720,130.125,1198.8,200.8,1301,35.595,1481.5,1402.8,8291,1544,1214,2630.25,939,75.025,1711,192.7,3025,33.45,511,1074,1552.499
11/18/2020,4613,1200,1732,131.319,1204,204.3,1299.5,35.665,1473,1374.8,8180,1531,1268,2637.25,941.5,76.32,1712.5,193.86,3030,33.63,498.6,1081,1543.499
11/19/2020,4482,1186,1708,132.115,1182.2,188.95,1278.5,35.655,1449.5,1395,8125,1530.5,1282,2674.75,941,74.88,1685,190.44,2975,32.825,480.1,1071,1533.749
11/20/2020,4494,1250,1726,131.717,1196.8,191.6,1277,35.815,1463,1393.6,8317,1569,1274,2694,951,75.265,1672,195.06,2989,32.95,474.6,1073,1531.499
11/23/2020,4567,1263,1772,126.544,1252.8,185.75,1265,37.2,1434,1366,8000,1548,1274,2680.5,956,76.675,1659,199.68,2949,33.225,474.2,1039,1505.999
11/24/2020,4696,1245,1845,127.141,1326.2,198.6,1257,39.5,1423.5,1380,8000,1546,1224,2716.25,980.25,78.4,1669.5,211.6,3107,33.62,489.3,1022,1446.299
11/25/2020,4720,1225,1799,126.345,1305.6,196.65,1220.5,38.13,1404.5,1378.6,7800,1506.5,1206,2720,986,77.875,1666,215,3167,33.255,485.8,1018,1450.199
11/26/2020,4769,1207,1747,125.947,1298.8,193.35,1219,37.32,1416,1390,7748,1489.5,1186,2769.75,999.25,77.935,1671.5,212.2,3080,33.275,476.2,993,1460.099
11/27/2020,4773,1184,1738,125.151,1304,194.15,1212,37.295,1452.5,1383.6,7770,1467.5,1204,2818,1019.5,78.05,1689.5,213.55,3043,33.24,470.1,988.5,1445.699
